"학적상태","입학년도","입학학기","졸업년도","졸업학기","대학코드","수료년도","수료학기","국적","생년월일","학과코드","군대상태","대학","학과","다전공종류","이중전공","융합전공","입학유형","입학구분","성별","캠퍼스구분","나이","Id","isoIndex"
"졸업",2013,"2R",2019,"2R",143,NA,"","CHN",1992,151,NA,"문과대학","심리학과","심화전공","","","외국인","정원외재입학","여",1,22,39140,NA
"졸업",2015,"1R",2019,"2R",143,2018,"2R","KOR",1992,147,31,"문과대학","철학과","심화전공","","","정시_수능","정원내편입학","남",1,24,39141,NA
"졸업",2015,"1R",2019,"2R",143,2018,"1R","KOR",1991,803,11,"문과대학","사학과","","","","학사편입학","정원외학사편입학","남",1,25,39142,NA
"졸업",2013,"1R",2019,"2R",143,NA,"","KOR",1994,153,11,"문과대학","독어독문학과","융합전공","","패션디자인및머천다이징융합전공","정시_수능","정원내신입학","남",1,20,39143,NA
"졸업",2013,"1R",2019,"2R",143,2019,"1R","KOR",1994,153,11,"문과대학","독어독문학과","이중전공","심리학과","","정시_수능","정원내신입학","남",1,20,39144,NA
"졸업",2013,"1R",2019,"2R",143,NA,"","KOR",1994,158,NA,"문과대학","서어서문학과","융합전공","","EML융합전공","정시_수능","정원내신입학","여",1,20,39145,NA
"졸업",2013,"1R",2019,"2R",143,NA,"","KOR",1993,155,11,"문과대학","중어중문학과","이중전공","식품자원경제학과","","정시_기회균등","정원외신입학","남",1,21,39146,NA
"졸업",2013,"1R",2019,"2R",143,2018,"1R","KOR",1993,4391,NA,"문과대학","언어학과","심화전공","","","정시_수능","정원내신입학","남",1,21,39147,NA
"졸업",2013,"1R",2019,"2R",143,2018,"2R","KOR",1994,4391,NA,"문과대학","언어학과","이중전공","경영학과","","수시_학생부교과","정원내신입학","여",1,20,39148,NA
"졸업",2013,"1R",2019,"2R",143,2018,"1R","KOR",1993,154,NA,"문과대학","불어불문학과","심화전공","","","순수정원외(=12년과정)","정원외신입학","여",1,21,39149,NA
"졸업",2013,"1R",2019,"2R",143,NA,"","KOR",1993,158,11,"문과대학","서어서문학과","융합전공","","EML융합전공","정시_기회균등","정원외신입학","남",1,21,39150,NA
"졸업",2013,"1R",2019,"2R",143,NA,"","KOR",1993,155,11,"문과대학","중어중문학과","이중전공","컴퓨터학과","","정시_수능","정원내신입학","남",1,21,39151,NA
"졸업",2013,"1R",2019,"2R",143,2018,"1R","KOR",1994,154,NA,"문과대학","불어불문학과","융합전공","","패션디자인및머천다이징융합전공","수시_학생부교과","정원내신입학","여",1,20,39152,NA
"졸업",2013,"1R",2019,"2R",143,2018,"1R","KOR",1993,154,NA,"문과대학","불어불문학과","융합전공","","과학기술학융합전공","정시_수능","정원내신입학","여",1,21,39153,NA
"졸업",2013,"1R",2019,"2R",143,NA,"","KOR",1995,154,11,"문과대학","불어불문학과","융합전공","","패션디자인및머천다이징융합전공","정시_수능","정원내신입학","남",1,19,39154,NA
"졸업",2013,"1R",2019,"2R",143,2018,"2R","KOR",1993,154,NA,"문과대학","불어불문학과","융합전공","","과학기술학융합전공","정시_수능","정원내신입학","여",1,21,39155,NA
"졸업",2016,"1R",2019,"2R",5720,NA,"","KOR",1979,5722,11,"정보대학","컴퓨터학과","","","","학사편입학","정원외학사편입학","남",1,38,39157,NA
"졸업",2015,"1R",2019,"2R",140,NA,"","KOR",1996,142,NA,"경영대학","경영학과","융합전공","","공공거버넌스와리더십융합전공","수시_특기자","정원내신입학","여",1,20,39158,NA
"졸업",2015,"1R",2019,"2R",140,NA,"","KOR",1996,142,NA,"경영대학","경영학과","융합전공","","공공거버넌스와리더십융합전공","정시_수능","정원내신입학","여",1,20,39159,NA
"졸업",2015,"1R",2019,"2R",140,2019,"1R","KOR",1996,142,NA,"경영대학","경영학과","융합전공","","공공거버넌스와리더십융합전공","수시_특기자","정원내신입학","여",1,20,39160,NA
"졸업",2015,"1R",2019,"2R",140,NA,"","KOR",1996,142,NA,"경영대학","경영학과","융합전공","","공공거버넌스와리더십융합전공","수시_특기자","정원내신입학","여",1,20,39161,NA
"졸업",2015,"1R",2019,"2R",140,NA,"","KOR",1990,142,NA,"경영대학","경영학과","심화전공","","","순수정원외(=12년과정)","정원외신입학","남",1,26,39162,NA
"졸업",2015,"1R",2019,"2R",140,NA,"","UZB",1994,142,NA,"경영대학","경영학과","심화전공","","","외국인","정원외신입학","남",1,22,39163,NA
"졸업",2015,"1R",2019,"2R",197,NA,"","CHN",1996,200,NA,"정경대학","경제학과","이중전공","일어일문학과","","외국인","정원외신입학","남",1,20,39164,NA
"졸업",2015,"2R",2019,"2R",143,NA,"","CHN",1997,145,NA,"문과대학","국어국문학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,19,39165,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","KOR",1997,142,NA,"경영대학","경영학과","심화전공","","","순수정원외(=12년과정)","정원외신입학","남",1,19,39166,NA
"졸업",2015,"2R",2019,"2R",5256,NA,"","CHN",1995,5257,NA,"미디어학부","미디어학부","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,21,39167,NA
"졸업",2015,"2R",2019,"2R",5256,NA,"","CHN",1995,5257,NA,"미디어학부","미디어학부","융합전공","","GKS 융합전공","외국인","정원외신입학","남",1,21,39168,NA
"졸업",2015,"2R",2019,"2R",140,NA,"","CHN",1994,142,NA,"경영대학","경영학과","융합전공","","GKS 융합전공","외국인","정원외신입학","여",1,22,39169,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","SAU",1994,5693,NA,"보건과학대학","바이오의공학부","심화전공","","","외국인","정원외신입학","여",1,22,39170,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","KOR",1995,5694,NA,"보건과학대학","바이오시스템의과학부","이중전공","생명공학부","","정시_수능","정원내신입학","여",1,21,39171,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","KOR",1997,5694,NA,"보건과학대학","바이오시스템의과학부","융합전공","","뇌인지과학융합전공","재외국민","정원외신입학","여",1,19,39172,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","KOR",1996,5694,NA,"보건과학대학","바이오시스템의과학부","심화전공","","","정시_수능","정원내신입학","여",1,20,39173,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","KOR",1994,5694,NA,"보건과학대학","바이오시스템의과학부","심화전공","","메디컬융합공학융합전공","정시_수능","정원내신입학","여",1,22,39174,NA
"졸업",2017,"1R",2019,"2R",4669,NA,"","KOR",1995,5694,NA,"보건과학대학","바이오시스템의과학부","심화전공","","","정시_수능","정원내편입학","여",1,23,39175,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","KOR",1992,5695,NA,"보건과학대학","보건환경융합과학부","이중전공","사회학과","","정시_수능","정원내신입학","남",1,24,39176,NA
"졸업",2015,"1R",2019,"2R",4669,2019,"1R","KOR",1995,5695,NA,"보건과학대학","보건환경융합과학부","심화전공","","","정시_수능","정원내신입학","여",1,21,39177,NA
"졸업",2015,"1R",2019,"2R",4669,NA,"","KOR",1995,5695,NA,"보건과학대학","보건환경융합과학부","심화전공","","","정시_수능","정원내신입학","여",1,21,39178,NA
"졸업",2015,"2R",2019,"2R",4669,NA,"","CHN",1995,5695,NA,"보건과학대학","보건환경융합과학부","심화전공","","","외국인","정원외신입학","여",1,21,39179,NA
